name,developer,short_description,stars,verified_creator,categories
c++ code check using clang/cppcheck/flawfinder,tlazypanda,check your pull requests against cppcheck  flawfinder and clang,1.0,False,code quality;code review
pagerduty pull request notifier,lmasaya,send alert notification to pagerduty on pull request,1.0,False,code review;code quality
check pull request format action,tikurahul,a github action that ensures pull requests follow a specific format,1.0,False,code review
commit-body-check,tim-actions,a github action that verifies wheather commits have bodys,0.0,False,code review;continuous integration
meep scanner,moreeyesplz,scans commit messages for meeps and submits them,8.0,False,code review;community
pull request status action,niteoweb,a github action to create pull request status,2.0,False,code review;continuous integration
action-check-compressed-size,arhia,get compressed size differences for every pr,5.0,False,code quality;code review
python vulture action,anaynayak,run vulture to analyse dead code in python projects,0.0,False,code quality;code review
on-approve,rbarbazz,give a thumbs up upon approving a pr,1.0,False,code review
open coverage notifier action,bearbobs,sends a comment notifcation regarding code coverage in pul requests,0.0,False,code quality;code review
git diff --check,joel-coffman,warn if changes introduce conflict markers or whitespace errors,0.0,False,code review
rust-cargo-udeps,aig787,detect unused dependencies in a rust project,1.0,False,continuous integration;code review
elm-review,sparksp,use elm review to check code quality,11.0,False,code review;code quality
dart/flutter package analyzer,axel-op,performs static analysis  linting  formatting  to compute the pub score of your dart flutter package,42.0,False,code review;continuous integration
commit message checker for pull request,tim-actions,check the commit message in pr against a regex pattern,3.0,False,code review;continuous integration
coveralls github action,coverallsapp,send test coverage data to coveralls io for analysis  change tracking  and notifications,242.0,True,code quality;code review
commit linter,wagoid,lints pull request commit messages with commitlint,119.0,False,code quality;code review
amplify-preview-actions,yinlinchen,this action builds and deploys your aws amplify pull request preview for public repository,7.0,False,continuous integration;code review
rubocop linter action,andrewmcodes-archive,a github action that lints your ruby or ruby on rails code with rubocop,81.0,False,code quality;code review
pmd source code analyzer action - for sap,ashkumar-wtc,this action allows to use pmd source code analyzer from github actions and fixes a small issue with permissions,0.0,False,code quality;code review
request review for team,acq688,assign reviews to individuals or teams based on the pr s author or author team,2.0,False,code review
check and reject spam prs,andrewslotin,run basic checks and close   mark spam prs,45.0,False,code review;community
review reminder,blombard,send reminders to requested reviewers of a pull request,4.0,False,code review
lfs-warning,actionsdesk,checks file sizes in a pull request and warns of large files,7.0,False,code review;continuous integration
auto rebase,label305,automatically rebases pull requests that are out of date,12.0,False,code review
coherent-swift,arthurpalves,measures cohesion in your swift codebase,66.0,False,code quality;code review
run semgrep with reviewdog,g-wilson,  run semgrep with reviewdog on pull requests to improve code review experience,0.0,False,code quality;code review
banner checker,a-katopodis,validate your files begin with a specific banner for compliance reasons,0.0,False,code quality;code review
codenotify,sourcegraph,notify subscribed users and groups of changes,23.0,False,code review
closed reference notifier,ory,github action that opens an issue when a in code refered issue pull request is closed,13.0,False,code review;code search
editorconfig check,wow-rp-addons,lints files against the repository wide editorconfig settings,0.0,False,continuous integration;code review
use-herald-action,gagoar,github action to add reviewers  subscribers and assignees to your pr,29.0,False,code review;utilities
tiangolo's label approved,tiangolo,add labels to approved pull requests,16.0,False,code review;open source management
hacktoberfest greet,harishteens,greet someone and when someone makes a pull request,4.0,False,code review
luacheck,nebularg,runs luacheck,9.0,False,code review;continuous integration
run ktlint with reviewdog,scacap,  run ktlint with reviewdog on pull requests to enforce best practices,29.0,False,code quality;code review
qhub github actions,quansight,runs qhub commands via github actions,0.0,False,code review;continuous integration
pull request description enforcer,derkinderfietsen,github action for enforcing description on pull requests,3.0,False,code review;utilities
run vimlint with reviewdog,tsuyoshicho,  run vimlint with reviewdog on pull requests to improve code review experience,0.0,False,code review;code quality
sonarqube scan,kitabisa,scan your code with sonarqube scanner to detect bugs  vulnerabilities and code smells in more than 25 programming languages,65.0,False,code review;code quality
bad commit message blocker,platisd,inhibit commits with bad messages from getting merged,50.0,False,code review;continuous integration
pytest coverage commentator,coroo,a github action to comments a pytest coverage on pr,12.0,False,reporting;code review
comment testplans and generate screenshots,randhirmsingh,reads all testplans from  xcode project and comments on github,0.0,False,code review;code quality
hallmark lint,vweevers,lint markdown files with hallmark,1.0,False,code review
frama-c-eva,frama-c,sound analysis of c code with the open source platform frama c  exhaustively list possible runtime errors,6.0,False,code quality;code review
actions ecosystem action lint commits,actions-ecosystem,lint commits on a pull request,3.0,False,code review;code quality
jsperformobot,florianmarkusse,uses jsperformobot to check for performance improvements,2.0,False,code quality;code review
open github issue automate,mihinduranasinghe,opens a github issue,0.0,False,reporting;code review
eslint plus,bradennapier,runs eslint against changed files with customization  issue commenting  and more,20.0,False,code quality;code review
helix check,ethisysltd,check if solution is following helix rules,6.0,False,code quality;code review
add pr owner,a-b-r-o-w-n,adds code reviewer as pull request assignee,0.0,False,open source management;code review
html5 validator experimental,cyb3r-jak3,checks html5 syntax using an experimental branch of html5validator,0.0,False,code review;code quality
django migration checker,hardcoretech,check django app migrations dependency tree,0.0,False,code quality;code review
migration toolkit for applications - action,carlosthe19916,executes migration toolkit for applications  mta  and analyze your code for migrations,2.0,False,code review;reporting
c++ style check (compiled),dal-papa,runs c   style check with uncrustify,0.0,False,code quality;code review
modelix url,coolya,adds a link to the current diff on your modelix instance to every pull request,2.0,False,code review
phpcs code review for codechef,codechef-org,this will run phpcs on prs,0.0,False,code review
enforce pull request title includes jira issue key,ryanvade,check that a pr title starts with a jira issue key,2.0,False,code review;open source management
setup detekt,peter-murray,installs a specific version of detekt into the github actions tool cache,5.0,False,code quality;code review
action-shellcheck,sudo-bot,use shellcheck without having to install it,0.0,False,code quality;code review
geojson lint,chris48s,run  mapbox geojsonhint on geojson files in pull requests,1.0,False,code quality;code review
request review,murs313,a github action for requesting review,1.0,False,code review
pr label by base,nrccua-walter-manger,automatically labels your prs based on the base ref branch you are merging into,0.0,False,code review
enforce active pull request is labeled,ryanvade,check that a pr which is out of draft status has labels,0.0,False,code review;open source management
enforce active pull request is assigned,ryanvade,check that a pr which is out of draft status has been assigned,0.0,False,code review;open source management
izuna-action,matsumonkie,run izuna,1.0,False,code review;code quality
dotenv-linter,wemake-services,runs dotenv linter as a github action,214.0,False,code quality;code review
run remark-lint with reviewdog,reviewdog,  run remark lint with reviewdog on pull requests to improve code review experience,2.0,False,code quality;code review
github actions workflow linter,cschleiden,parse and validate github actions workflows,12.0,False,code review;code quality
flow coverage compare,jackieo5023,github action to compare flow coverage on a pr to the base branch,2.0,False,code quality;code review
phpcs in action,doroshenkoss,run phpcs,0.0,False,code quality;code review
github action linting terraform files,devops-infra,github action that will run tflint on terraform files,5.0,False,continuous integration;code review
"python code style, quality, and lint",weibullguy,supports a plethora of tools for checking your python code and packages,5.0,False,code quality;code review
.net code coverage badge,simon-k,extact code coverage percentage from an opencover report and generates metadata for a shields io badge,2.0,False,code quality;code review
parse-review-comments,homexlabs,gets the review from pr and parse it,2.0,False,code quality;code review
secret serfer,chiefus,looking for secrets in current commit  it can create a report in junit format,0.0,False,code review;code search
a11y friendly badges for github,leonstafford,a github action that uses information from your build to generate accessible project statistics,3.0,False,code quality;code review
rubocop todo checker,gimmyxd,checks that no new rubocop offenses are added when using  rubocop todo yml,0.0,False,code quality;code review
pronto ruby,adwerx,"run pronto code review runners on your commits and pull requests
and get feedback as inline code annotations ",17.0,False,code review;code quality
github pr content checker,jsoares,checks pr body and diff for word occurrences,0.0,False,code review
gugod-perlcritic,gugod,perlcritic by gugod,1.0,False,code review;code quality
ansible-later,patrickjahns,lint ansible roles playbooks with ansible later,1.0,False,code quality;code review
action sonarqube,vtex,scan code using sonarqube and show issues in pull requests,6.0,False,continuous integration;code review
goto-raptor,nickcrews,sends velociraptors if  goto  statements are added  xkcd com 292,0.0,False,code review;code quality
brakeman linter action,gabofdc,a github action that lints your ruby code with brakeman,0.0,False,code review;code quality
src datalinter,7474,lint src data,0.0,False,code review
cccc-action,sarnold,generate useful metrics for c  c    and java code,2.0,False,code quality;code review
auto close pr,imba-tjd,close prs whose body text don t match with given patterns,1.0,False,open source management;code review
re-run workflow,reitermarkus,re run a workflow once or continuously until it succeeds by applying  or removing  labels to a pull request ,2.0,False,continuous integration;code review
slack notify pull request,erskaggs,use github actions to notify slack that a pull request has been opened,0.0,False,code review
pr chatter,brianmitchl,add fun chatter to your pull requests,0.0,False,code review;chat
detect branch changes,younited,"detect all changes in a branch  this is done by detecting the fork point of the current branch with the
repo s base branch ",1.0,False,code review;continuous integration
run remark-lint with reviewdog for documentation projects,civicactions,  run remark lint with reviewdog on pull requests for documentation projects,0.0,False,code review
semantic-pull-request,amannn,ensure your pr title matches the conventional commits spec  https   www conventionalcommits org  ,82.0,False,code review;continuous integration
php copy paste detector,stephanebour,php cpd,3.0,False,code quality;code review
sonar scan action,nasiruddinml,sonarqube scanner with heap memory options detect bugs  vulnerabilities and code smells in more than 25 programming languages,0.0,False,code quality;code review
cypress report action duynhanf,duynhanf,basic report added to the pull request as a comment with summary and detailed failures table using github actions,0.0,False,code review
changelog checker,zomzog,verify the changelog has been updated,10.0,False,code quality;code review
sonarqube scanner trigger,fedecalendino,automatically trigger a call to sonnar scanner,0.0,False,code quality;code review
secret existence,devsamuelv,github action to check for file existence,0.0,False,code review
clover-diff-action,levonet,calculate the difference between the two coverage reports,0.0,False,code quality;code review
gugod-perlcritic (with reviewdog),gugod,perlcritic by gugod,1.0,False,code review;code quality
run detekt with reviewdog,alaegin,  run detekt with reviewdog on pull requests to enforce best practices,6.0,False,code quality;code review
kyverno-cli,gbaeke,runs kyverno cli,2.0,False,code review
sonnarqube code analysis,experfy,review code using sonarqube,0.0,False,code review
task list zero,weeverapps,ensure all tasks are checked,2.0,False,code review
java checkstyle action,justintime50,run java checkstyle in a command line context via github actions,1.0,False,code quality;code review
add pull request reviewer,averycameronuofr,adds reviewer s  to a pull request,3.0,False,code review;continuous integration
setup reviewdog,reviewdog,  this action sets up reviewdog,21.0,False,code review;code quality
is ready,alberthernandez,check if the pull request is ready to be merged in the main branch,0.0,False,code review
comment test coverage as table,vhoyer,read a test coverage coverage summary json test report and comment stats on to pr,0.0,False,code review
json keys,valentinvignal,a github action to check keys of json files,0.0,False,code quality;code review
lychee broken link checker,lycheeverse,quickly check links in markdown  html  and text files,26.0,False,code review;continuous integration
qs-rust-clippy,qernal,rust clippy  linter ,0.0,False,code quality;code review
clang-format lint,doozyx,github action that check if code is formatted correctly using clang format,55.0,False,code quality;code review
auto request review,necojackarc,automatically requests review of a pull request based on files changes and or groups the author belongs to  ,20.0,False,code review
cppcheck-action,deep5050,find potential vulnerabilities in your c c   codes,12.0,False,code quality;code review
ktlint-pr-comments,le0nidas,run ktlint in all added modified  kt files and make comments for any errors,14.0,False,code quality;code review
codestatistics,jojo2357,gathers statistics into interactable md files for code in a project,2.0,False,code review;reporting
dart analyze,valentinvignal,analyze a dart code,6.0,False,code quality;code review
codebase scanner,kiliczsh,scan codebase for existence scan keyword,1.0,False,code review;code search
clang-tidy review,zedthree,create a pull request review based on warnings from clang tidy,9.0,False,code review;code quality
alex recommends,brown-ccv,create comment on pull request with alex recommendations,16.0,False,code review;reporting
block fixup commit merge,13rac1,block merge of pull requests containing fixup commits  so you do not forget to squash autosquash,19.0,False,code quality;code review
c/c++ lint action,shenxianpeng,automatically checks pull requests changes with clang tidy  clang format  and cppcheck and posts the comment with result,1.0,False,code quality;code review
check spelling,check-spelling,spell check commits,51.0,False,code review;code quality
action-pr-size-checker,budougumi0617,verify pull request size without sepecified file names,2.0,False,code review
php code style fixer (php-cs-fixer),stephanebour,php code style fixer  php cs fixer ,4.0,False,code quality;code review
doc-validator,amitmiran137,greet someone and record the time,0.0,False,code review
eslint pr review,rpkak,it lints with eslint,3.0,False,code quality;code review
validate nerdpack action,newrelic,checks for presence of new relic standard open source files  new relic one catalog metadata  and package script commands,2.0,False,code review;continuous integration
ensure files changed,danieljimeneznz,ensure files changed,0.0,False,code review;code quality
pullpreview,pullpreview,automatically spin and maintain preview environments for your pull requests,51.0,False,continuous integration;code review
norminette 42,jaeseokim,check 42 norm with norminette linter,0.0,False,code review;code quality
pr commenter,exercism,adds a comment to a pr that can differ depending on which files are being changed in that pr,5.0,False,code review
verify changelog updated,takanuva15,verify that the changelog file has been updated in the current pr,0.0,False,code review
unresolved review threads,samuelcabralcruz,prevent merge of pull request having unresolved review threads,0.0,False,code review;code quality
report arduino sketch size deltas,arduino,comments on the pull request with a report on the resulting change in memory usage of arduino sketches,6.0,False,continuous integration;code review
pr-reporter-slack,seanreece,slack messages for your prs,5.0,False,reporting;code review
lint-md-github-action,lint-md,lint md service for github action,8.0,False,code review;code quality
run black formatter with reviewdog,reviewdog,  run black formatter with reviewdog on pull requests to improve code review experience,5.0,False,code review;code quality
problem matcher wrapper (linter errors as annotations even for fork prs),liskin,invoke linters  detect errors warnings  show them as annotations  supports prs from forks  unlike other actions,8.0,False,code quality;code review
sticky pull request comment,marocchino,create comment on pull request  if exists update that comment,65.0,False,code review;continuous integration
pr reviewer slack notify action,mlg87,blow up a channel with  s when adding people to review your pr,2.0,False,code review;chat
verilog cleaner,suibianp,lint and format verilog code,1.0,False,code review;code quality
commit-linter-cli,severgroup-tt,lint commit messages,5.0,False,code review;code quality
no weekend merge,ka7eh,an action to prevent merges on weekends  or whenever that a merge should not happend,1.0,False,code review;continuous integration
block autosquash commits,xt0rted,prevent merging pull requests that contain commit messages prefixed with fixup  or squash,14.0,False,code review
action-php-codesniffer-with-report,andrewdavid,runs php codesniffer on files changed in current pr or even only on lines by author of pr,0.0,False,code quality;code review
test coverage check,sergavshin,check coverage and annotate uncovered code in pr,0.0,False,code quality;code review
auto update your github action configuration files,avides,updates the github action configuration   yml  files if necessary,0.0,False,code review;code quality
"project version check (maven, nodejs...)",avides,checks if the project version has been updated,2.0,False,code review;code quality
run flake8 with reviewdog,reviewdog,  run flake8 with reviewdog on pull requests to improve code review experience,5.0,False,code quality;code review
add pr review comment,nbaztec,add review comments to a pull request,0.0,False,code review;continuous integration
prettier action,creyd,automatically runs prettier on all your changes,91.0,False,code quality;code review
annotate action,yuzutech,creates annotations from a json file,4.0,False,code review;code quality
weekly auto assign code buddies,myztiq,auto assigns pull requests to users for a given week,0.0,False,code review
action-phpcs,thenabeel,runs php codesniffer on files changed in current pr or even only on lines by author of pr,2.0,False,code quality;code review
block pr merges if keyword found,itsvs,checks that the added code in a pr doesn t contain a keyword,1.0,False,code review
review assign action,hkusu,automatically set assignees and reviewers in pull request,6.0,False,code review;continuous integration
enforce pull request description length,ryanvade,check that a pr description is filled out,0.0,False,code review;open source management
checkprcomments,talentia-software-oss,check that pr comment contains  or not  a given text,2.0,False,code review
code climate coverage action,paambaati,publish code coverage to code climate,90.0,False,code quality;code review
review badger,nicklemmon,badger your team to pick up reviews,0.0,False,code review;chat
check code formatting using gofmt,jerome1337,check code formatting using gofmt,5.0,False,code quality;code review
sonarqube with shellcheck,sunilagarwal22,scan your shell  bash scripts   python  groovy  etc  code with sonar scanner to detect bugs  vulnerabilities and code smells,0.0,False,code quality;code review
action-git-diff-suggestions,getsentry,this github action will take the current git changes and apply them as github code review suggestions,9.0,True,code quality;code review
update codeowners,gofunky,generate and update github s codeowners file based on the git fame of files,2.0,False,open source management;code review
stylelinter,actions-hub,github action that runs stylelint,15.0,False,code quality;code review
checkpatch.pl pr review,webispy,code review for pr using checkpatch pl,3.0,False,code review;code quality
bash shell beautifier,illvart,run beautysh to beautify a bash shell scripts code,2.0,False,code quality;code review
pr output,zattoo,outputs markdown content to pull requests,2.0,False,code review;reporting
auto reviews,golfzaptw,review automatic  pull request  from selected branches or author,3.0,False,code review;code quality
commit push and pr,golfzaptw,automatically commits and push files which have been changed and pull request,1.0,False,code quality;code review
danger action,meilcli,run danger,17.0,False,code quality;code review
missing changelog reminder,mskelton,reminds users to add a changelog if their pull request is missing one,4.0,False,code review;utilities
poorlydefinedbehavioyr/nyc-reporter,poorlydefinedbehaviour,run tests   comment coverage on pull request,3.0,False,code quality;code review
yeslinter,chilupa,runs linter on your prs,0.0,False,code quality;code review
hold your horses,mheap,prevent prs from being merged too quickly,6.0,False,code review;continuous integration
require labels,mheap,require labels to be added to a pull request before merging,9.0,False,code review
auto assign review teams,rowi1de,send review requests to teams  with auto assignment  or persons,8.0,False,code review;community
codeowners action,svanboxel,extracts codeowners information,7.0,False,code review;utilities
rubocop problem matchers,r7kamura,setup problem matchers for rubocop,8.0,False,continuous integration;code review
pr monitor,andrewandante,scan for open pull requests and send a slack update,0.0,False,code review;chat
run reek with reviewdog - by hopin,hopin-team,  run reek with reviewdog on pull requests to improve code review experience,0.0,False,code review;code quality
phpstan for wordpress,dingo-d,php static analysis in github actions for wordpress,6.0,False,code quality;code review
reviewdog-suggester: suggest any code changes based on diff with reviewdog,reviewdog,  suggest any code changes based on diff through github multi line code suggestions,26.0,False,code review;code quality
pull request updater github action,tzkhan,github action that updates a pull request with information extracted from branch name,31.0,False,code review
bugout: locust summary,bugout-dev,generate a locust summary of a git diff,4.0,False,code review;code search
phpanalysedog,middlefieldinc,php code analyse on pull request and review comment via reviewdog,0.0,False,code review;code quality
run phpmd with reviewdog,genealabs,  run php mess detector with reviewdog,1.0,False,code quality;code review
detect blank pr,adcdr,detects if a pr only contains whitespace  newlines or no changes,0.0,False,code quality;code review
run phpcs-wordpress with reviewdog,oohnoitz,  run phpcs for wordpress with reviewdog on pull requests to improve code review experience,0.0,False,code review;code quality
go-mnd,tommy-muehle,runs the golang magic number detector,109.0,False,code quality;code review
php analyse dog,shiromegane,run php code analyse on pull request and review comment via reviewdog,1.0,False,code quality;code review
clover code coverage report,danhunsaker,comments a pull request with the code coverage,3.0,False,code review;reporting
upload coverage to code climate,caffco,uploads coverage info to code climate,0.0,False,code quality;code review
coverage check,devmasx,a github action that check minimum coverage percentage,8.0,False,code quality;code review
gs commit message checker,gsactions,check the commit message against a regex pattern,36.0,False,code quality;code review
pull request reviewer reminder action,tommykw,action to send github mentions when there are pull requests pending for reviews,3.0,False,code review
pull request reviewee reminder action,tommykw,action to send github mentions when there are pull requests that has exceeded the lifetime,3.0,False,code review
python linter,sunnysid3up,ensure python code quality  supports pylint  black  mypy and isort,6.0,False,code quality;code review
actionsx/prettier,actionsx,native  blazingly fast prettier cli on github actions,10.0,False,code quality;code review
azure devops work item linker,solidify,this github action creates a pull request comment with a link to an azure devops work item,4.0,False,code review
mirror action,tianhaoz95,checks if the content of 2 files are the same,1.0,False,code quality;code review
eslint check action,dunklestoast,runs eslint checks and bails if there is a failure,0.0,False,code quality;code review
cfn-guard-action,maskerade,runs cloudformation guard,0.0,False,continuous integration;code review
phpcs github action running wpthemereview checks,dingo-d,runs phpcs checks with wpthemereview standards,3.0,False,code review;code quality
opinionated-commit-message,mristin,check commit messages according to an opinionated style,35.0,False,code quality;code review
hexlet project action,hexlet,for testing projects,0.0,False,code review
ansible-inventory-diff,skedulo,determines the difference in inventory variables between two git refs,1.0,False,code review
bundlephobia-checker,carlesnunez,check for new packages and their sizes,33.0,False,code quality;code review
codeowners lint,fmenezes,lints codeowners files,0.0,False,code review
seal of approval,andrewchmr,github action that gives seal of approval to your pr,3.0,False,code review;code quality
sync pull requests to azure boards,danhellem,create a work item in azure devops when a pull request is created,8.0,False,code review;community
run phpcs with reviewdog,shirobrak,  run phpcs with reviewdog on pull requests to improve code review experience,2.0,False,code review;code quality
git pylint github action,vcoder4c,run pylint on pr change files only,1.0,False,code quality;code review
polarity integration development checklist,polarityio,checks a list of requirements for each polarity integration development,0.0,False,code review;open source management
labeler-test,ylemkimon,add labels to new pull requests based on the files that are changed,0.0,False,code review
google chatroom message,ipacheco-uy,send google chat messages for some github actions,2.0,False,code review;chat
jest coverage commenter,dkershner6,comment on prs with jest coverage information,4.0,False,code quality;code review
pr review approval action,pwei1018,pr review approval action,0.0,False,code review
auto assign reviewer by files,shufo,automatically assigns reviewers based on changed files,5.0,False,code review;continuous integration
typescript linter action,antonkornus,action for typescript check,3.0,False,code quality;code review
stuck pull request notifier,jrylan,automatically label and mention notify users about stuck pull requests,0.0,False,code review;code quality
reviews counter,jrylan,collaborator pull request review counter,2.0,False,code review;code quality
ksp-avc version file validator,dasskelett,validate the ksp avc  version file of your mod against the avc schema,2.0,False,continuous integration;code review
run detekt with reviewdog (fork),gumil,  run detekt with reviewdog on pull requests to enforce best practices,1.0,False,code quality;code review
dart test annotations,rodrigost23,parses dart test json report and shows annotations in files,0.0,False,code quality;code review
gocd mergeable,ganeshspatil,verifies the config repository changes can be merged with gocd configuration,6.0,False,continuous integration;code review
rust-clippy-check,actions-rs,run clippy and annotate the diff with errors and warnings,179.0,False,code quality;code review
run dotenv-linter with reviewdog,dotenv-linter,  run dotenv linter with reviewdog on pull requests to improve code review experience,11.0,False,code review;code quality
bundlephobia-pr-review,jonathan-fielding,check for new packages and their sizes,1.0,False,code review;code quality
run codespell with reviewdog,plettich,  run codespell with reviewdog on pull requests to improve code review experience,0.0,False,code review;code quality
mention reviewers,techshift,this action creates a string that mentions all the reviewers for a pull request,1.0,False,code review
jest github action reporter,ignusg,jest junit github actions annotation reporter made easy,8.0,False,code review;continuous integration
run pyflakes with reviewdog,reviewdog,  run pyflakes with reviewdog on pull requests to improve code review experience,3.0,False,code review;code quality
earmuffsaction,dannyhinshaw,status check source code for foul language,2.0,False,code review;code quality
run php check code with reviewdog,ducla5,run phpcs  phpmd to check your code,3.0,False,code review;code quality
codespell problem matcher,codespell-project,shows codespell errors as annotation  with file and code line  in github actions,0.0,False,code review;continuous integration
go-linter,jerome1337,lint your code using golint,3.0,False,code quality;code review
code review action,moneyforward,analyze code statically in github actions,1.0,False,code review
run nim check with reviewdog,reviewdog,  run nim check with reviewdog on pull requests to improve code review experience,6.0,False,code review;code quality
draft pr closer,treiff,automatically close draft prs after a period of time,0.0,False,code review;open source management
run haml-lint with reviewdog,84codes,  run haml lint with reviewdog on pull requests to improve code review experience,1.0,False,code quality;code review
pull request stylecheck,maximbircu,github action to enforce conventions for pr branch name and commit messages,8.0,False,code review;code quality
run d-scanner (d language linter) with reviewdog,dgellow,  run d scanner with reviewdog on pull requests to improve code review experience,0.0,False,code review;code quality
code review using rails best practices,moneyforward,analyze code statically using rails best practices in github actions,4.0,False,code review
code review using reek,moneyforward,analyze code statically using reek in github actions,0.0,False,code review
code review using rubocop,moneyforward,analyze code statically using rubocop in github actions,1.0,False,code review
code review using brakeman,moneyforward,analyze code statically using brakeman in github actions,1.0,False,code review
dartanalyzer annotations,kitek,creates annotations from dartanalyzer outputs,1.0,False,code quality;code review
no pull requests,codelytv,automatically closes any open pull request,9.0,False,continuous integration;code review
resharper inspectcode,nbadal,an action that runs the inspectcode cli utility from jetbrains,1.0,False,code quality;code review
twigcs,dirtdiglett,a github action that runs twigcs on a repository,0.0,False,code quality;code review
php static analyser (phpstan),chindit,phpstan run,1.0,False,code quality;code review
comment on a pull request,khezen,write a comment on a pull request,1.0,False,code review
pull request workflow cancel,khan,cancel stale workflow runs for the current pull request,5.0,False,code review;continuous integration
auto assign reviewer by issuer,shufo,this action will automatically assigns reviewers based on pull request issuer,2.0,False,code review;continuous integration
ros docs,automodality,documentation generation for ros projects,0.0,False,code review;reporting
comment if files changed,bussebu,post a reply to comments in prs if file to which the comment was left has been changed,5.0,False,code review
unanimously approved,snow-actions,approved by all reviewers,0.0,False,continuous integration;code review
spectral comment,l-lin,comments pull requests with spectral linter outputs,1.0,False,code quality;code review
well-wisher-1.0,aman-zishan,greets people,1.0,False,code review
promtool github action,karancode,github action for promtool   quickly check whether a rule file is syntactically correct,6.0,False,code review;continuous integration
replace pull-request body,claudiamatosa,a github action to replace pull request variables inside the pull request body,2.0,False,code review
google-chat-github-notification,commonmarvel,google chat notification for github actions,6.0,False,code review;chat
flake8 annotator,rbialon,annotate prs with flake8 errors and warnings from github checks output,8.0,False,code review;code quality
open github issue 222,alialaa,opens a github issue,1.0,False,reporting;code review
ready for review - slack notifier,kv109,notifies you when a pull request is ready for review  accepted or rejected,2.0,False,code review
reward for own pr approval,xshteff,posts a meme if someone approves merges their own pr,6.0,False,community;code review
container structure test action,plexsystems,setup container structure test in your github workflows,3.0,False,code quality;code review
check commits,gimmyxd,check commits against defined rules,0.0,False,code review
run php_codesniffer with reviewdog,hrysd,run php codesniffer with reviewdog,5.0,False,code quality;code review
scan with sonar scanner,mathrix-education,sonar scanner on github actions,7.0,False,code quality;code review
octocop,freshly,run rubocop against the diff of your pr base,3.0,False,code review
python pylint github action,fylein,pylint github action running on python slim docker image,2.0,False,code quality;code review
attractor action,julianrubisch,a github action that lets you easily run attractor  a code quality exploration tool especially for ruby on rails,1.0,False,code quality;code review
promtool github actions,peimanja,runs prometheus promtool commands via github actions,8.0,False,code review;code quality
review summary,buildsville,review summay to output,1.0,False,code review
brakeman linter,devmasx,a github action that lints your ruby code with brakeman,13.0,False,code review;code quality
standardrb action,andrewmcodes,a github action that lints your ruby code with standardrb,12.0,False,code review;code quality
custom github status,geekodour,github action to create custom status,2.0,False,code review;continuous integration
run stylelint with reviewdog,reviewdog,  run stylelint with reviewdog on pull requests to improve code review experience,22.0,False,code review;code quality
pr build & merge,nikhilaii93,automatically builds   merges after approval and optional label,7.0,False,continuous integration;code review
edgedesigncz phpqa tool suite,mickaelandrieu,analyze php code with one command,3.0,False,code quality;code review
analysis publisher,digirati-labs,publish code analysis results as diff annotations,5.0,False,code quality;code review
github action for flake8,cclauss,run flake8 commands,11.0,False,code quality;code review
go-linty,arangogutierrez,linty support an iterative process to clear out lints from go code,9.0,False,code review;code quality
haskell linter,domdere,run hlint on your haskell code base,15.0,False,code quality;code review
label approved pull requests,abinoda,auto label pull requests that have a specified number of approvals,119.0,False,code review;reporting
assignee to reviewer,abinoda,automatically create review requests based on assignees,117.0,False,code review
comment-related-issues,riiid,comment on github pr with related issues in your issue trackers,3.0,False,code review
stylua,johnnymorganz,github action to run stylua  an opinionated lua code formatter,5.0,False,code quality;code review
coverage badge js,tj-actions,generate coverage badge using istanbul s json  summary,1.0,False,code quality;code review
git-democracy,myyk,add voting to your pull requests,2.0,False,code review;community
annotate check scripts output,agyemanjp,create github checks  with annotations for prs  from json file outputs of custom code check scripts,2.0,False,continuous integration;code review
run static analysis for c++ project,jacobdomagala,runs cppcheck and clang tidy on cmake based project  the result will be added as pr comment,3.0,False,code quality;code review
prevent file change,xalvarez,fail a pull request workflow if certain files are changed,2.0,False,continuous integration;code review
composer.lock diff,wyrihaximus,github action that diffs composer lock between current branch and default branch,8.0,False,code review
pull request automerge action,davideviolante,github action to automatically merge pull requests when some conditions are met,3.0,False,code review;continuous integration
github action for committing changes to a repository,devops-infra,github action that will create a new commit and push it back to the repository,3.0,False,continuous integration;code review
run eslint on changed files,tj-actions,run eslint on javascript files,4.0,False,code quality;code review
pr size checker,maidsafe,check pr total lines changed,3.0,False,code review;continuous integration
new gems,aki77,add a message in pull request with basic information when new gems are added,3.0,False,code review;reporting
django test ci,uknowwhoim,a github action to run your django tests,4.0,False,continuous integration;code review
clang format github action,rafikfarhad,an action that check the code format is compliant with a certain configuration,5.0,False,code quality;code review
checkstyle for java,dbelyaev,  run checkstyle analysis on java code and report results directly to pull request with the help of reviewdog,5.0,False,code quality;code review
pronto action,heromo,github action of pronto,6.0,False,code review;code quality
opa action,koozz,opa pull request assessor  automatically check your structured configuration data using open policy agent,6.0,False,code review
dart code metrics action,dart-code-checker,a github action to perform dart code metrics checks automatically,10.0,False,code quality;code review
run vint with reviewdog,reviewdog,  run vint with reviewdog on pull requests to improve code review experience,7.0,False,code review;code quality
run brakeman with reviewdog,reviewdog,  run brakeman with reviewdog on pull requests to improve code review experience,11.0,False,code review;code quality
rich code nav indexer,microsoft,indexes a repo to the rich code nav cloud service,12.0,True,code review;code search
spa reporter,roncsak,parse and report gradle lint issues to pr,0.0,False,code quality;code review
html5 validator,cyb3r-jak3,checks html5 syntax using html5validator,13.0,False,code review;reporting
